Saccharomyces cerevisiae
Schizosaccharomyces japonicus
Schizosaccharomyces pombe
Candida albicans
Serpula lacrymans
Coprinopsis cinerea
Aspergillus nidulans
Aspergillus niger
Gigaspora margarita
Gigaspora rosea
Zymoseptoria tritici
Pneumocystis carinii B80
Neolecta irregularis
Malassezia globosa
Puccinia graminis
Ramaria rubella
Melampsora larici-populina 98AG31
Choanephora cucurbitarum
Absidia glauca
Mucor circinatus
Mucor ambiguus
Umbelopsis isabellina
Umbelopsis vinacea
Podila humilis
Mortierella polycephala
Mortierella antarctica
Mortierella hygrophila
Modicella reniformis
Synchytrium microbalum
Synchytrium endobioticum
Nosema apis
Nosema ceranae
Nosema granulosis
